Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Peak Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Power (dB)	Delta Time (s)	File Offset (s)	Begin Path	Begin File	Class	Sound Type	Interval	Period	comments
1	Spectrogram 1	1	11110.888625592	11111.052132701	50.7	146.5	282.3	231.6		0.164	310.548	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	unkn	unkn	37	pre	
2	Spectrogram 1	1	11141.506013003	11141.897008264	231.2	375.0	450.9	219.7		0.391	341.166	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
3	Spectrogram 1	1	11143.122191401	11143.385224576	234.6	322.3	387.9	153.3		0.263	342.782	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
4	Spectrogram 1	1	11144.814134529	11145.141148747	244.8	334.0	456.0	211.2		0.327	344.474	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
5	Spectrogram 1	1	11147.047984410	11147.396325643	232.9	363.3	439.0	206.1		0.348	346.707	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
6	Spectrogram 1	1	11149.449446512	11149.627171631	227.8	351.6	450.9	223.1		0.178	349.109	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
7	Spectrogram 1	1	11151.461294853	11151.646128977	231.2	334.0	444.1	212.9		0.185	351.121	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
8	Spectrogram 1	1	11202.097013043	11202.253411147	86.4	316.4	525.8	439.4		0.156	401.757	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
9	Spectrogram 1	1	11202.458510521	11202.550927583	42.1	1019.5	1271.8	1229.7		0.092	402.118	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	review
12	Spectrogram 1	1	11228.935810256	11229.170407413	27.3	35.2	330.4	303.1		0.235	428.595	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	unkn	unkn	37	pre	
13	Spectrogram 1	1	11253.570212254	11253.719501353	18.7	23.4	427.5	408.8		0.149	453.230	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
14	Spectrogram 1	1	11254.330875761	11254.537036899	71.5	152.3	400.2	328.7		0.206	453.990	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
15	Spectrogram 1	1	11254.728980026	11254.899596140	74.9	281.2	410.5	335.6		0.171	454.388	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
16	Spectrogram 1	1	11256.669738320	11256.847463439	17.0	29.3	403.6	386.6		0.178	456.329	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
19	Spectrogram 1	1	11279.249582828	11279.405980933	80.0	298.8	449.6	369.6		0.156	478.909	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	unkn	unkn	37	pre	
20	Spectrogram 1	1	11279.917829274	11280.095554392	160.1	287.1	453.0	292.9		0.178	479.577	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	unkn	unkn	37	pre	
21	Spectrogram 1	1	11280.280388515	11280.458113634	81.8	140.6	432.6	350.8		0.178	479.940	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	unkn	unkn	37	pre	
22	Spectrogram 1	1	11289.767378873	11289.916667973	22.1	46.9	752.8	730.7		0.149	489.427	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
23	Spectrogram 1	1	11294.841735775	11294.983915869	29.0	46.9	652.3	623.3		0.142	494.501	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
24	Spectrogram 1	1	11295.446001177	11295.595290277	23.8	41.0	696.6	672.8		0.149	495.106	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
25	Spectrogram 1	1	11295.950740514	11296.100029613	51.1	369.1	746.0	694.9		0.149	495.610	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
26	Spectrogram 1	1	11297.706664685	11297.863062789	25.5	363.3	786.9	761.4		0.156	497.366	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
27	Spectrogram 1	1	11298.453110182	11298.659271320	25.5	351.6	778.3	752.8		0.206	498.113	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
28	Spectrogram 1	1	11300.145053310	11300.344105443	32.4	252.0	718.7	686.3		0.199	499.805	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
29	Spectrogram 1	1	11300.784863737	11300.927043831	22.1	328.1	684.7	662.6		0.142	500.444	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
30	Spectrogram 1	1	11302.634782814	11302.776962908	20.4	140.6	468.4	448.0		0.142	502.294	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	knock	37	pre	
32	Spectrogram 1	1	11307.334679782	11308.628518644	18.7	82.0	715.3	696.6		1.294	506.994	/Volumes/SPERA_Rf_3_backup/RCA_IN/April_July2019/quiet_period/1342218252.190419040156.wav	1342218252.190419040156.wav	fish	grunt	37	pre	complex
